AcceptanceRate,PPS,ClassSize
0.079320113,1,2
0.033742331,1,2
0.003533569,1,2
0.06489071,1,2
0.012326656,1,2
0,2,1
0,2,1
0,2,2
0.003745318,2,1
0,1,2
0,2,2
0.001627339,1,2
0.012169312,1,2
0,2,2
0,2,1
0.016408387,1,2
0,2,2
0.011170213,1,2
0.002183406,1,2
0.002061856,1,2
0.001126126,2,1
0.007575758,1,2
0.005464481,2,1
0.001564945,1,1
0,2,1
0.005571031,2,1
0.019622093,1,2
0,1,2
0,2,1
0.005333333,1,1
0.031784841,1,2
0.001189061,1,2
0.050236967,1,2
0.014723926,1,2
0.001547988,1,2
0.002739726,2,1
0.001490313,1,1
0.033333333,1,1
0.01598579,1,2
0.003412969,1,1
0.008122744,1,2
0,1,2
0,1,2
0,1,2
0.002057613,1,1
0.002828854,1,2
0.001424501,1,2
0,1,1
0.001582278,1,2
0.002656042,1,2
0,1,1
0.004901961,2,1
0.004032258,1,2
0,2,1
0.003278689,1,1
0,1,1
0.002699055,1,2
0.001416431,2,2
0,2,1
0.036002939,1,2
0.02887538,2,1
0.001539646,1,2
0.023486902,1,2
0.004120071,1,2
0.004132231,1,1
0.01702396,1,2
0.020061728,1,2
0,2,1
0.003539823,1,1
0.026128266,2,1
0.114814815,1,1
0.002042901,1,1
0.018916595,1,2
0.008681926,2,2
0.013930348,1,1
0.007332722,1,2
0.009174312,1,2
0.003267974,2,1
0.004562738,1,1
0.002038736,1,2
0.015250545,2,2
0.033552152,2,2
0.000761615,2,2
0.002207506,1,2
0.002936858,1,2
0,2,1
0,2,1
0,2,1
0,2,1
0.003174603,2,1
0.002296211,1,2
0,2,2
0.002298851,1,2
0,2,1
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
